Folder,Pages,Page Size (cm),Fit,Scale (%),Margin X (cm),Margin Y (cm),Row Gap (cm),Grid,Layout Image
"Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288)",288,10.79x18.0,False,,,,,,
"Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77)",77,10.79x18.0,False,,,,,,
"Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127)",127,10.79x18.0,False,,,,,,
"Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161)",161,10.79x18.0,False,,,,,,
"Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81)",81,11.7x17.1,False,,,,,,
"Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182)",182,11.7x17.1,False,,,,,,
"Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85)",85,11.7x17.1,False,,,,,,
"Saki Stories, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35)",35,11.7x17.1,True,95,9.98,14.51,2,9x4,D:\csv\mural_layouts\Saki_Stories__Beasts_and_Super_Beasts__including_The_She_Wolf__the_Boar_Pig__Laura__The_Brogue_and_2_others__1939_facsimile__35__layout.png
"Saki stories, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103)",105,11.7x17.1,False,,,,,,
"Saki stories, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153)",153,11.7x17.1,False,,,,,,
"Saki stories, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50)",50,11.7x17.1,False,,,,,,
"Saki stories, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120)",120,11.7x17.1,False,,,,,,
"Saki stories, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167)",167,11.7x17.1,False,,,,,,
"Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63)",63,10.79x18.0,False,,,,,,
"Voltaire, Candide, facsimile c. 1950 (244)",244,10.79x18.0,False,,,,,,
"Voltaire, Candide, Part One, facsimile c. 1950 (159)",159,10.79x18.0,False,,,,,,
"Wells HG 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31)",31,10.79x18.0,True,95,13.87,14.3,1,9x4,D:\csv\mural_layouts\Wells_HG_2_Stories_from_the_collection_The_Stolen_Bacillus__The_Temptation_of_Harringay_and_The_Flying_Man__1895_facsimile__31__layout.png
"Wells HG 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55)",55,10.79x18.0,False,,,,,,
"Wells HG 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42)",42,10.79x18.0,True,95,13.87,5.25,1,9x5,D:\csv\mural_layouts\Wells_HG_2_Stories_from_the_collection_The_Stolen_Bacillus__Triumphs_of_a_Taxidermist_and_Through_a_Window__1895_facsimile__42__layout.png
"Wells HG 4 Stories from the collection The Stolen Bacillus, the title story, In the Avu Observatory, Triumphs of a Taxidermist and Through a Window,1895 facsimile (95)",95,10.79x18.0,False,,,,,,
"Wells, HG 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186)",186,10.79x18.0,False,,,,,,
"Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65)",65,10.79x18.0,False,,,,,,
"Oscar Wilde, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118)",118,10.79x18.0,False,,,,,,
"Oscar Wilde, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81)",81,10.79x18.0,False,,,,,,
"Oscar Wilde, The Happy Prince, 1908 facsimile (23)",23,10.79x18.0,False,,,,,,
"Oscar Wilde, The Nightingale and the Rose, 1908 facsimile (15)",15,10.79x18.0,False,,,,,,
"Oscar Wilde, The Selfish Giant, 1908 facsimile (11)",11,10.79x18.0,False,,,,,,
"Oscar Wilde, The Star Child, 1908 facsimile (37)",37,10.79x18.0,True,95,13.87,5.25,1,9x5,D:\csv\mural_layouts\Oscar_Wilde__The_Star_Child__1908_facsimile__37__layout.png
