Folder Name,Total Pages,Mode Dimensions (cm),Min Page Dimensions,Max Page Dimensions,Min Area (cm²),Max Area (cm²),DPI
"Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63)",63,12.18x19.99 cm,10.72x17.59,13.64x22.39,11879.58,19240.17,600.0
"Voltaire, Candide, facsimile c. 1950 (244)",244,12.18x19.99 cm,10.72x17.59,13.64x22.39,46009.81,74517.5,600.0
"Voltaire, Candide, Part One, facsimile c. 1950 (159)",159,12.18x19.99 cm,10.72x17.59,13.64x22.39,29981.8,48558.54,600.0
"Wells HG 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31)",31,12.29x20.0 cm,10.82x17.6,13.76x22.4,5903.39,9554.94,600.0
"Wells HG 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55)",55,12.29x20.0 cm,10.82x17.6,13.76x22.4,10473.76,16952.32,600.0
"Wells HG 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42)",42,12.29x20.0 cm,10.82x17.6,13.76x22.4,7998.14,12945.41,600.0
"Wells HG 4 Stories from the collection The Stolen Bacillus, the title story, In the Avu Observatory, Triumphs of a Taxidermist and Through a Window,1895 facsimile (95)",95,12.29x20.0 cm,10.82x17.6,13.76x22.4,18091.04,29281.28,600.0
"Wells, HG 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186)",186,12.29x20.0 cm,10.82x17.6,13.76x22.4,35420.35,57329.66,600.0
"Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65)",65,12.29x20.0 cm,10.82x17.6,13.76x22.4,12378.08,20034.56,600.0
"Wells, HG The Time Machine, 1946 Penguin facsimile (100)",100,11.39x20.0 cm,10.02x17.6,12.76x22.4,17635.2,28582.4,600.0
"Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)",163,12.78x19.99 cm,11.25x17.59,14.31x22.39,32255.66,52225.35,600.0
"Oscar Wilde, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118)",118,13.0x19.75 cm,11.44x17.38,14.56x22.12,23461.61,38003.93,600.0
"Oscar Wilde, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81)",81,13.0x19.75 cm,11.44x17.38,14.56x22.12,16105.0,26087.44,600.0
"Oscar Wilde, The Happy Prince, 1908 facsimile (23)",23,13.0x19.75 cm,11.44x17.38,14.56x22.12,4573.03,7407.55,600.0
"Oscar Wilde, The Nightingale and the Rose, 1908 facsimile (15)",15,12.28x20.0 cm,10.81x17.6,13.75x22.4,2853.84,4620.0,600.0
"Oscar Wilde, The Selfish Giant, 1908 facsimile (11)",11,12.28x20.0 cm,10.81x17.6,13.75x22.4,2092.82,3388.0,600.0
"Oscar Wilde, The Star Child, 1908 facsimile (37)",37,12.28x20.0 cm,10.81x17.6,13.75x22.4,7039.47,11396.0,600.0
"Oscar Wilde, The Young King, 1908 facsimile (32)",32,12.28x20.0 cm,10.81x17.6,13.75x22.4,6088.19,9856.0,600.0
"Oscar Wilde, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49)",49,13.0x19.75 cm,11.44x17.38,14.56x22.12,9742.53,15781.29,600.0
"Oscar Wilde, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34)",34,13.0x19.75 cm,11.44x17.38,14.56x22.12,6760.12,10950.28,600.0
"12 PG Wodehouse stories, featuring 7 Blandings stories and 5 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (307)",307,12.99x18.85 cm,11.43x16.59,14.55x21.11,58214.48,94295.2,600.0
"2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58)",58,13.0x18.86 cm,11.44x16.6,14.56x21.12,11014.43,17835.42,600.0
"3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85)",85,13.0x18.86 cm,11.44x16.6,14.56x21.12,16141.84,26138.11,600.0
"4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110)",110,13.0x18.86 cm,11.44x16.6,14.56x21.12,20889.44,33825.79,600.0
"5 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136)",136,13.0x18.86 cm,11.44x16.6,14.56x21.12,25826.94,41820.98,600.0
"7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191)",191,13.0x18.86 cm,11.44x16.6,14.56x21.12,36271.66,58733.88,600.0
"PG Wodehouse, 3 selected Mr Mulliner Stories, Monkey Business, The Nodder, The Juice of an Orange, 1935 facsimile (67)",67,12.99x18.85 cm,11.43x16.59,14.55x21.11,12704.79,20579.08,600.0
"PG Wodehouse, 5 selected Mr Mulliner Stories, Monkey Business, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (113)",113,12.99x18.85 cm,11.43x16.59,14.55x21.11,21427.48,34708.01,600.0
"Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)",172,13.19x21.17 cm,11.61x18.63,14.77x23.71,37202.62,60233.83,600.0
"Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)",296,12.51x20.0 cm,11.01x17.6,14.01x22.4,57357.7,92891.9,600.0
