Folder,Title,Page Width (cm),Page Height (cm),Pages,Thumbnail,Handle
"D:\NormalizedModeFacsimiles\Poe, EA, poems and stories\Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288)","Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288)",10.79,18.0,288,,"poe,-ea,-28-stories-including-the-murders-in-the-rue-morgue,-the-fall-of-the-house-of-usher,-the-black-cat,-the-tell-tale-heart-and-the-pit-and-the-pendulum,-1946-facsimile-(288)"
"D:\NormalizedModeFacsimiles\Poe, EA, poems and stories\Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77)","Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77)",10.79,18.0,77,,"poe,-ea,-poems,-featuring-the-raven,-the-bells,-lenore,-annabel-lee-and-45-others,-1946-facsimile--(77)"
"D:\NormalizedModeFacsimiles\Poe, EA, poems and stories\Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127)","Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127)",10.79,18.0,127,,"poe,-ea,-the-man-who-was-used-up-and-13-other-stories,-including-the-murders-in-the-rue-morgue-and-the-fall-of-the-house-of-usher,-1946-facsimile--(127)"
"D:\NormalizedModeFacsimiles\Poe, EA, poems and stories\Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161)","Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161)",10.79,18.0,161,,"poe,-ea,-the-oval-portrait-and-13-more-stories,-including-the-black-cat,-the-tell-tale-heart-and-the-pit-and-the-pendulum,-1946-facsimile--(161)"
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81)","Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81)",11.7,17.1,81,,"biography-of-saki-by-his-sister-ethel-munro,-including-drawings-by-saki,-1939-facsimile--(81)"
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182)","Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182)",11.7,17.1,182,,"saki-stories,-beasts-and-super-beasts,-including-the-seventh-pullet,-the-forbidden-buzzards,-cousin-teresa,-the-she-wolf--and-more-than-20-others,-1939-facsimile(182)"
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85)","Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85)",11.7,17.1,85,,"saki-stories,-beasts-and-super-beasts,-including-the-seventh-pullet,-the-she-wolf,-laura,-the-brogue-and-more-than-12-others,-1939-facsimile-(85)"
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki Stories, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35)","Saki Stories, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35)",11.7,17.1,35,,"saki-stories,-beasts-and-super-beasts,-including-the-she-wolf,-the-boar-pig,-laura,-the-brogue-and-2-others,-1939-facsimile-(35)"
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki stories, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103)","Saki stories, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103)",11.7,17.1,105,,"saki-stories,-the-chronicles-of-clovis,-including-adrian,-filboid-studge,-the-way-to-the-dairy,-the-secret-sin-of-septimus-brope-and-more-than-14-others,-1939-facsimile-(103)"
"D:\NormalizedModeFacsimiles\Saki (HH Munro) stories\Saki stories, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153)","Saki stories, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153)",11.7,17.1,153,,"saki-stories,-the-chronicles-of-clovis,-including-the-unrest-cure,-tobermory,-filboid-studge,-sredni-vashtar-and-more-than-20-others,-1939-facsimile-(153)"
