Handle,Title,Pages,Page Width (cm),Page Height (cm),Image
"Joyce, James, Dubliners, complete, 1914 facsimile (278)","Joyce, James, Dubliners, complete, 1914 facsimile (278 pages)",278,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Joyce, James, Dubliners, complete, 1914 facsimile (278).jpg"
"Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287)","Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287 pages)",287,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287).jpg"
"Mansfield, Katherine, Prelude, 1921 facsimile (77)","Mansfield, Katherine, Prelude, 1921 facsimile (77 pages)",77,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Mansfield, Katherine, Prelude, 1921 facsimile (77).jpg"
"Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88)","Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88 pages)",88,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88).jpg"
"Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124)","Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124 pages)",124,11.7,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124).jpg"
"Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288)","Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288 pages)",288,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288).jpg"
"Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77)","Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77 pages)",77,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77).jpg"
"Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127)","Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127 pages)",127,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127).jpg"
"Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161)","Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161 pages)",161,10.79,18,"https://mural-api.onrender.com/static/thumbnails/firstpage/Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161).jpg"
"Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182)","Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182 pages)",182,11.7,17.1,"https://mural-api.onrender.com/static/thumbnails/firstpage/Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182).jpg"
