Author Prefix,Normalized Filename,Shopify URL
"Voltaire,","Voltaire,_Candide_facsimile_c._1950_244.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Voltaire_Candide_facsimile_c._1950_244.jpg?v=1759984956
"Voltaire,","Voltaire,_Candide_Chapters_1-13_facsimile_c._1950_63.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Voltaire_Candide_Chapters_1-13_facsimile_c._1950_63.jpg?v=1759984956
"Wells,","Wells,_HG_2_Stories_from_the_collection_The_Stolen_Bacillus_Triumphs_of_a_Taxidermist_and_Through_a_Window_1895_facsimile_42.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wells_HG_2_Stories_from_the_collection_The_Stolen_Bacillus_Triumphs_of_a_Taxidermist_and_Through_a_Window_1895_facsimile_42.jpg?v=1759996246
"Wells,","Wells,_HG_2_Stories_from_the_collection_The_Stolen_Bacillus_the_title_story_and_In_the_Avu_Observatory_1895_facsimile_55.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wells_HG_2_Stories_from_the_collection_The_Stolen_Bacillus_the_title_story_and_In_the_Avu_Observatory_1895_facsimile_55.jpg?v=1759996246
"Wells,","Wells,_HG_3_Stories_from_the_collection_The_Stolen_Bacillus_The_Hammerpond_Park_Burglary_A_Moth_Genus_Novo_The_Treasure_in_the_Forest_1895_facsimile_65.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wells_HG_3_Stories_from_the_collection_The_Stolen_Bacillus_The_Hammerpond_Park_Burglary_A_Moth_Genus_Novo_The_Treasure_in_the_Forest_1895_facsimile_65.jpg?v=1759996246
"Wells,","Wells,_HG_4_Stories_from_the_collection_The_Stolen_Bacillus_the_title_story_In_the_Avu_Observatory_Triumphs_of_a_Taxidermist_and_Through_a_Window_1895_facsimile_95.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wells_HG_4_Stories_from_the_collection_The_Stolen_Bacillus_the_title_story_In_the_Avu_Observatory_Triumphs_of_a_Taxidermist_and_Through_a_Window_1895_facsimile_95.jpg?v=1759996246
"Wells,","Wells,_HG_9_stories_from_the_collection_The_Stolen_Bacillus_1895_facsimile_186.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wells_HG_9_stories_from_the_collection_The_Stolen_Bacillus_1895_facsimile_186.jpg?v=1759996246
"Wells,","Wells,_HG_2_Stories_from_the_collection_The_Stolen_Bacillus_The_Temptation_of_Harringay_and_The_Flying_Man_1895_facsimile_31.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wells_HG_2_Stories_from_the_collection_The_Stolen_Bacillus_The_Temptation_of_Harringay_and_The_Flying_Man_1895_facsimile_31.jpg?v=1759996246
"Wilde,","Wilde,_Oscar_Two_Stories_The_Happy_Prince_The_Selfish_Giant_1908_facsimile_34.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_Two_Stories_The_Happy_Prince_The_Selfish_Giant_1908_facsimile_34.jpg?v=1759996247
"Wilde,","Wilde,_Oscar_Three_Stories_The_Happy_Prince_The_Nightingale_and_the_Rose_The_Selfish_Giant_1908_facsimile_49.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_Three_Stories_The_Happy_Prince_The_Nightingale_and_the_Rose_The_Selfish_Giant_1908_facsimile_49.jpg?v=1759996246
"Wilde,","Wilde,_Oscar_Four_Stories_The_Happy_Prince_The_Nightingale_and_the_Rose_The_Selfish_Giant_The_Young_King_1908_facsimile_81.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_Four_Stories_The_Happy_Prince_The_Nightingale_and_the_Rose_The_Selfish_Giant_The_Young_King_1908_facsimile_81.jpg?v=1759996247
"Wilde,","Wilde,_Oscar_Five_Stories_The_Happy_Prince_The_Nightingale_and_the_Rose_The_Selfish_Giant_The_Young_King_The_Star_Child_1908_facsimile_118.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_Five_Stories_The_Happy_Prince_The_Nightingale_and_the_Rose_The_Selfish_Giant_The_Young_King_The_Star_Child_1908_facsimile_118.jpg?v=1759996247
"Wilde,","Wilde,_Oscar_The_Nightingale_and_the_Rose_1908_facsimile_15.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_The_Nightingale_and_the_Rose_1908_facsimile_15.jpg?v=1759996246
"Wilde,","Wilde,_Oscar_The_Star_Child_1908_facsimile_37.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_The_Star_Child_1908_facsimile_37.jpg?v=1759996246
"Wilde,","Wilde,_Oscar_The_Young_King_1908_facsimile_32.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_The_Young_King_1908_facsimile_32.jpg?v=1759996246
"Wilde,","Wilde,_Oscar_The_Selfish_Giant_1908_facsimile_11.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_The_Selfish_Giant_1908_facsimile_11.jpg?v=1759996246
"Wilde,","Wilde,_Oscar_The_Happy_Prince_1908_facsimile_23.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_The_Happy_Prince_1908_facsimile_23.jpg?v=1759996246
"Wilde,","Wilde,_Oscar_Lord_Arthur_Savile_s_Crime_and_3_other_stories_1891_facsimile_163.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wilde_Oscar_Lord_Arthur_Savile_s_Crime_and_3_other_stories_1891_facsimile_163_a3b9efe9-fc3c-46bf-be8d-c7f640af4dee.jpg?v=1760005170
"Wodehouse,","Wodehouse,_PG_4_selected_Mr_Mulliner_Stories_The_Nodder_The_Juice_of_an_Orange_The_Rise_of_Minna_Nordstrom_The_Castaways_1935_facsimile_91.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wodehouse_PG_4_selected_Mr_Mulliner_Stories_The_Nodder_The_Juice_of_an_Orange_The_Rise_of_Minna_Nordstrom_The_Castaways_1935_facsimile_91.jpg?v=1759996247
"Wodehouse,","Wodehouse,_PG_2_selected_Mr_Mulliner_Stories_The_Nodder_The_Juice_of_an_Orange_1935_facsimile_45.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wodehouse_PG_2_selected_Mr_Mulliner_Stories_The_Nodder_The_Juice_of_an_Orange_1935_facsimile_45.jpg?v=1759996247
"Wodehouse,","Wodehouse,_PG_11_PG_Wodehouse_stories_featuring_7_Blandings_stories_and_4_Mr_Mulliner_stories_from_the_volume_Blandings_Castle_1935_facsimile_281.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wodehouse_PG_11_PG_Wodehouse_stories_featuring_7_Blandings_stories_and_4_Mr_Mulliner_stories_from_the_volume_Blandings_Castle_1935_facsimile_281.jpg?v=1759996246
"Wodehouse,","Wodehouse,_PG_5_Blandings_stories_The_Custody_of_the_Pumpkin_Lord_Emsworth_Acts_for_the_Best_PIG-HOO-O-O-O-EY_Company_for_Gertrude_The_Go-Getter_1935_facsimile_136.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wodehouse_PG_5_Blandings_stories_The_Custody_of_the_Pumpkin_Lord_Emsworth_Acts_for_the_Best_PIG-HOO-O-O-O-EY_Company_for_Gertrude_The_Go-Getter_1935_facsimile_136.jpg?v=1759996247
"Wodehouse,","Wodehouse,_PG_7_PG_Wodehouse_Blandings_stories_The_Custody_of_the_Pumpkin_Lord_Emsworth_Acts_for_the_Best_PIG-HOO-O-O-O-EY_and_4_more_1935_facsimile_191.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wodehouse_PG_7_PG_Wodehouse_Blandings_stories_The_Custody_of_the_Pumpkin_Lord_Emsworth_Acts_for_the_Best_PIG-HOO-O-O-O-EY_and_4_more_1935_facsimile_191.jpg?v=1759996247
"Wodehouse,","Wodehouse,_PG_4_PG_Wodehouse_Blandings_stories_The_Custody_of_the_Pumpkin_Lord_Emsworth_Acts_for_the_Best_PIG-HOO-O-O-O-EY_Company_for_Gertrude_1935_facsimile_110.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wodehouse_PG_4_PG_Wodehouse_Blandings_stories_The_Custody_of_the_Pumpkin_Lord_Emsworth_Acts_for_the_Best_PIG-HOO-O-O-O-EY_Company_for_Gertrude_1935_facsimile_110.jpg?v=1759996247
"Wodehouse,","Wodehouse,_PG_3_PG_Wodehouse_Blandings_stories_The_Custody_of_the_Pumpkin_Lord_Emsworth_Acts_for_the_Best_PIG-HOO-O-O-O-EY_1935_facsimile_85.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wodehouse_PG_3_PG_Wodehouse_Blandings_stories_The_Custody_of_the_Pumpkin_Lord_Emsworth_Acts_for_the_Best_PIG-HOO-O-O-O-EY_1935_facsimile_85.jpg?v=1759996247
"Wodehouse,","Wodehouse,_PG_2_Wodehouse_Blandings_stories_The_Custody_of_the_Pumpkin_Lord_Emsworth_Acts_for_the_Best_1935_facsimile_58.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Wodehouse_PG_2_Wodehouse_Blandings_stories_The_Custody_of_the_Pumpkin_Lord_Emsworth_Acts_for_the_Best_1935_facsimile_58.jpg?v=1759996246
"Woolf,","Woolf,_Virginia_A_Room_of_One_s_Own_1935_facsimile_172.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Woolf_Virginia_A_Room_of_One_s_Own_1935_facsimile_172.jpg?v=1759984956
"Woolf,","Woolf,_Virginia_Mrs_Dalloway_1925_facsimile_296.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Woolf_Virginia_Mrs_Dalloway_1925_facsimile_296.jpg?v=1759984956
