Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src,Image Alt Text
"Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124)","Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/mansfield-katherine-six-stories-from-bliss-including-title-story-1921-facsimile-124.jpg?v=1760531170,"Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124 pages)"
"Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288)","Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/poe-ea-28-stories-including-the-murders-in-the-rue-morgue-the-fall-of-the-house-of-usher-the-black-cat-the-tell-tale-heart-and-the-pit-and-the-pendulum-1946-facsimile-288.jpg?v=1760531177,"Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288 pages)"
"Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77)","Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/poe-ea-poems-featuring-the-raven-the-bells-lenore-annabel-lee-and-45-others-1946-facsimile-77.jpg?v=1760531184,"Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77 pages)"
"Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127)","Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/poe-ea-the-man-who-was-used-up-and-13-other-stories-including-the-murders-in-the-rue-morgue-and-the-fall-of-the-house-of-usher-1946-facsimile-127.jpg?v=1760531191,"Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127 pages)"
"Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161)","Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/poe-ea-the-oval-portrait-and-13-more-stories-including-the-black-cat-the-tell-tale-heart-and-the-pit-and-the-pendulum-1946-facsimile-161.jpg?v=1760531199,"Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161 pages)"
"Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182)","Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-beasts-and-super-beasts-including-the-seventh-pullet-the-forbidden-buzzards-cousin-teresa-the-she-wolf-and-more-than-20-others-1939-facsimile182.jpg?v=1760531215,"Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182 pages)"
"Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85)","Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-beasts-and-super-beasts-including-the-seventh-pullet-the-she-wolf-laura-the-brogue-and-more-than-12-others-1939-facsimile-85.jpg?v=1760531233,"Saki, HH Munro, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85 pages)"
"Saki, HH Munro, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35)","Saki, HH Munro, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-beasts-and-super-beasts-including-the-she-wolf-the-boar-pig-laura-the-brogue-and-2-others-1939-facsimile-35.jpg?v=1760531241,"Saki, HH Munro, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35 pages)"
"Saki, HH Munro, Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81)","Saki, HH Munro, Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-biography-of-saki-by-his-sister-ethel-munro-including-drawings-by-saki-1939-facsimile-81.jpg?v=1760531248,"Saki, HH Munro, Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81 pages)"
"Saki, HH Munro, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103)","Saki, HH Munro, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-chronicles-of-clovis-including-adrian-filboid-studge-the-way-to-the-dairy-the-secret-sin-of-septimus-brope-and-more-than-14-others-1939-facsimile-103.jpg?v=1760531256,"Saki, HH Munro, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103 pages)"
