Slug,Shopify Image URL
voltaire-candide-chapters-1-13-facsimile-c-1950-63,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/voltaire-candide-chapters-1-13-facsimile-c-1950-63.jpg?v=1760531320
voltaire-candide-facsimile-c-1950-244,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/voltaire-candide-facsimile-c-1950-244.jpg?v=1760531327
voltaire-candide-part-one-facsimile-c-1950-159,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/voltaire-candide-part-one-facsimile-c-1950-159.jpg?v=1760531333
wells-hg-2-stories-from-the-collection-the-stolen-bacillus-the-temptation-of-harringay-and-the-flying-man-1895-facsimile-31,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-2-stories-from-the-collection-the-stolen-bacillus-the-temptation-of-harringay-and-the-flying-man-1895-facsimile-31.jpg?v=1760531341
wells-hg-2-stories-from-the-collection-the-stolen-bacillus-the-title-story-and-in-the-avu-observatory-1895-facsimile-55,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-2-stories-from-the-collection-the-stolen-bacillus-the-title-story-and-in-the-avu-observatory-1895-facsimile-55.jpg?v=1760531348
wells-hg-2-stories-from-the-collection-the-stolen-bacillus-triumphs-of-a-taxidermist-and-through-a-window-1895-facsimile-42,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-2-stories-from-the-collection-the-stolen-bacillus-triumphs-of-a-taxidermist-and-through-a-window-1895-facsimile-42.jpg?v=1760531355
wells-hg-3-stories-from-the-collection-the-stolen-bacillus-the-hammerpond-park-burglary-a-moth-genus-novo-the-treasure-in-the-forest-1895-facsimile-65,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-3-stories-from-the-collection-the-stolen-bacillus-the-hammerpond-park-burglary-a-moth-genus-novo-the-treasure-in-the-forest-1895-facsimile-65.jpg?v=1760531363
wells-hg-9-stories-from-the-collection-the-stolen-bacillus-1895-facsimile-186,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-9-stories-from-the-collection-the-stolen-bacillus-1895-facsimile-186.jpg?v=1760531370
wilde-oscar-five-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-the-young-king-the-star-child-1908-facsimile-118,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-five-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-the-young-king-the-star-child-1908-facsimile-118.jpg?v=1760531384
wilde-oscar-four-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-the-young-king-1908-facsimile-81,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-four-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-the-young-king-1908-facsimile-81.jpg?v=1760531391
wilde-oscar-lord-arthur-saviles-crime-and-3-other-stories-1891-facsimile-163,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-lord-arthur-saviles-crime-and-3-other-stories-1891-facsimile-163.jpg?v=1760531377
wilde-oscar-the-happy-prince-1908-facsimile-23,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-the-happy-prince-1908-facsimile-23.jpg?v=1760531397
wilde-oscar-the-nightingale-and-the-rose-1908-facsimile-15,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-the-nightingale-and-the-rose-1908-facsimile-15.jpg?v=1760531403
wilde-oscar-the-selfish-giant-1908-facsimile-11,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-the-selfish-giant-1908-facsimile-11.jpg?v=1760531409
wilde-oscar-the-star-child-1908-facsimile-37,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-the-star-child-1908-facsimile-37.jpg?v=1760531416
wilde-oscar-the-young-king-1908-facsimile-32,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-the-young-king-1908-facsimile-32.jpg?v=1760531423
wilde-oscar-three-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-1908-facsimile-49,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-three-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-1908-facsimile-49.jpg?v=1760531429
wilde-oscar-two-stories-the-happy-prince-the-selfish-giant-1908-facsimile-34,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wilde-oscar-two-stories-the-happy-prince-the-selfish-giant-1908-facsimile-34.jpg?v=1760531435
wodehouse-pg-11-pg-wodehouse-stories-featuring-7-blandings-stories-and-4-mr-mulliner-stories-from-the-volume-blandings-castle-1935-facsimile-281,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-11-pg-wodehouse-stories-featuring-7-blandings-stories-and-4-mr-mulliner-stories-from-the-volume-blandings-castle-1935-facsimile-281.jpg?v=1760531443
wodehouse-pg-2-selected-mr-mulliner-stories-the-nodder-the-juice-of-an-orange-1935-facsimile-45,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-2-selected-mr-mulliner-stories-the-nodder-the-juice-of-an-orange-1935-facsimile-45.jpg?v=1760531450
wodehouse-pg-2-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-1935-facsimile-58,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-2-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-1935-facsimile-58.jpg?v=1760531458
wodehouse-pg-3-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-1935-facsimile-85,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-3-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-1935-facsimile-85.jpg?v=1760531466
wodehouse-pg-4-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-company-for-gertrude-1935-facsimile-110,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-4-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-company-for-gertrude-1935-facsimile-110.jpg?v=1760531473
wodehouse-pg-4-selected-mr-mulliner-stories-the-nodder-the-juice-of-an-orange-the-rise-of-minna-nordstrom-the-castaways-1935-facsimile-91,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-4-selected-mr-mulliner-stories-the-nodder-the-juice-of-an-orange-the-rise-of-minna-nordstrom-the-castaways-1935-facsimile-91.jpg?v=1760531481
wodehouse-pg-5-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-company-for-gertrude-the-go-getter-1935-facsimile-136,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-5-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-company-for-gertrude-the-go-getter-1935-facsimile-136.jpg?v=1760531488
wodehouse-pg-7-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-and-4-more-1935-facsimile-191,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wodehouse-pg-7-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-and-4-more-1935-facsimile-191.jpg?v=1760531495
woolf-virginia-a-room-of-ones-own-1935-facsimile-172,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/woolf-virginia-a-room-of-ones-own-1935-facsimile-172.jpg?v=1760531502
woolf-virginia-mrs-dalloway-1925-facsimile-296,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/woolf-virginia-mrs-dalloway-1925-facsimile-296.jpg?v=1760531510
